,PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH.CITY,DEATHDATE,CEMETERY,CEME.CITY,CEME.STATE,CEME.COUNTRY,CEME.NOTE,BIRTH.NAME,NAME.CHG,BAT.CHG,HOF
2957,bullage01,Bullard,George Donald,George,10/24/1928,Lynn,12/23/2002,Puritan Lawn Memorial Park,Peabody,Massachusetts,USA,,,,,
2960,bullore01,Bullock,Malton Joseph,Red,10/12/1911,Biloxi,06/27/1988,Griffin Cemetery,Moss Point,Mississippi,USA,,,,,
2962,bullasi01,Bullas,Simeon Edward,Sim,01/11/1863,,01/14/1908,Woodland Cemetery,Cleveland,Ohio,USA,,,,,
2966,bumpuea01,Bumpus,Earnest Earl,Earl,02/15/1914,Evansville,05/14/1985,Uniontown City Cemetery,Uniontown,KY,USA,,,,,
2970,buncejo01,Bunce,Joshua,Josh,05/10/1847,Brooklyn,04/28/1912,Green-Wood Cemetery,Brooklyn,New York,USA,,,,,
2975,bunniji01,Bunning,James Paul David,Jim,10/23/1931,Southgate,05/26/2017,St. Stephen Cemetery,Fort Thomas,Kentucky,USA,,,,,HOF
2979,burbabi01,Burbach,William David,Bill,08/22/1947,Dickeyville,07/20/2022,Monte Vista Memorial Park,Johnson City,Tennessee,USA,,,,,
2980,burbabu01,Burbage,Knowlington Ottoway,Buddy,06/23/1907,Salisbury,08/30/1989,Mount Zion Cemetery,Collingdale,PA,USA,,,,,
2982,burbrne01,Burbrink,Nelson Edward,Nelson,12/28/1921,Cincinnati,04/12/2001,The Garden Sanctuary Cemetery,Seminole,Florida,USA,,,,,
2984,burchal01,Burch,Albert William,Al,10/07/1883,Albany,10/05/1926,St. John Cemetery,Middle Village,New York,USA,,,,,
2985,burcher01,Burch,Ernest A.,Ernie,09/09/1856,DeKalb County,10/12/1892,Summit View Cemetery,Guthrie,Oklahoma,USA,,,,,
2987,burchfr01,Burchell,Frederick Duff,Fred,07/14/1879,Perth Amboy,11/20/1951,St. Patrick Cemetery,Jordan,New York,USA,,,,,
2990,burdibi01,Burdick,William Byron,Bill,10/11/1859,Austin,10/23/1949,St. Thomas Cemetery,Coeur d'Alene,Idaho,USA,,,,,
2992,burdefr01,Burdette,Freddie Thomason,Freddie,09/15/1936,Moultrie,06/01/2010,Riverside Cemetery,Albany,Georgia,USA,,,,,
2993,burdoja01,Burdock,John Joseph,Jack,04/  /1852,Brooklyn,11/27/1931,Holy Cross Cemetery,Brooklyn,New York,USA,,,,,
2994,burdele01,Burdette,Selva Lewis,Lew,11/22/1926,Nitro,02/06/2007,Cremated,,,,Ashes scattered off Longboat Key near Sarasota FL,,,,
2999,burgobi01,Burgo,William Ross,Bill,11/15/1919,Johnstown,10/19/1988,Morgan City Cemetery,Morgan City,Louisiana,USA,,,,,
3007,burgjo01,Burg,Joseph Peter,Joe,06/04/1882,Chicago,04/28/1969,Zion Lutheran Cemetery,Tinley Park,Illinois,USA,,,,,
3011,burgesm01,Burgess,Forrest Harrill,Smoky,02/06/1927,Caroleen,09/15/1991,Sunset Memorial Park,Forest City,North Carolina,USA,,,,,
3013,burgeto01,Burgess,Thomas Roland,Tom,09/01/1927,London,11/24/2008,Cremated,,,,,,,,
3015,buricbi01,Burich,William Max,Bill,05/29/1918,Calumet,12/25/2009,Queen of Heaven Cemetery,Rowland Heights,California,USA,,,,,
3017,burkebi02,Burke,William Ignatius,Billy,07/11/1889,Clinton,02/09/1967,St. John's Cemetery,Lancaster,Massachusetts,USA,,,,,
3018,burkebo01,Burke,Robert James,Bobby,01/23/1907,Joliet,02/08/1971,St. Patrick Cemetery,Joliet,Illinois,USA,Block 82- Lot 11,,,,
3020,burkach01,Burkam,Chauncey DePew,Chauncey,10/13/1892,Benton Harbor,05/09/1964,Mount Ever-Rest Memorial Park South,Kalamazoo,Michigan,USA,,,,,
3021,burkeda01,Burke,Daniel L.,Dan,10/25/1868,Abington,03/20/1933,St. Patrick's Cemetery,Rockland,Massachusetts,USA,,,,,
3023,burkeed01,Burke,Edward D.,Eddie,10/06/1866,Northumberland,11/26/1907,St. Agnes Cemetery,Utica,New York,USA,,,,,
3024,burkael01,Burkart,Elmer Robert,Elmer,02/01/1917,Philadelphia,02/06/1995,Dulaney Valley Memorial Gardens,Timonium,Maryland,USA,,,,,
3027,burkefr01,Burke,Frank Aloysius,Frank,02/16/1880,Carbon County,09/17/1946,Holy Cross Cemetery & Mausoleum,Culver City,California,USA,,,,,
3029,burkegl01,Burke,Glenn Lawrence,Glenn,11/16/1952,Oakland,05/30/1995,Mountain View Cemetery,Oakland,California,USA,,,,,
3034,burkeje01,Burkett,Jesse Cail,Jesse,12/04/1868,Wheeling,05/27/1953,St. John Cemetery,Worcester,Massachusetts,USA,Rosary Section- Range 12- Lot 135,,,,HOF
3035,burkejo01,Burke,Joseph Aloysius,Joe,12/07/1867,Nashville,11/03/1940,St. Joseph New Cemetery,Cincinnati,Ohio,USA,,,,,
3036,burkejo02,Burke,John Patrick,John,01/27/1877,Hazleton,08/04/1950,St. Joseph Cemetery,Keyport,New Jersey,USA,,,,,
3037,burkeji01,Burke,James Timothy,Jimmy,10/12/1874,St. Louis,03/26/1942,Calvary Cemetery,St. Louis,Missouri,USA,Section 24- Lot 233,,,,
3040,burkhke01,Burkhart,Kenneth William,Ken,11/18/1916,Knoxville,12/29/2004,Woodlawn Cemetery,Knoxville,Tennessee,USA,Section Q- Lot 106; N35.55.947 W83.53.936,,,,
3041,burkele01,Burke,Leslie Kingston,Les,12/18/1902,Lynn,05/06/1975,Swampscott Cemetery,Swampscott,Massachusetts,USA,,,,,
3045,burkemi01,Burke,Michael E.,Mike,1854,,06/09/1889,St. Agnes Cemetery,Menands,New York,USA,,,,,
3046,burkepa01,Burke,Patrick Edward,Pat,05/13/1901,St. Louis,07/07/1965,Resurrection Cemetery,St. Louis,Missouri,USA,,,,,
3047,burksa01,Burk,Charles Sanford,Sandy,04/22/1887,Columbus,10/11/1934,Cypress Hills National Cemetery,Brooklyn,New York,USA,,,,,
3050,burkebi01,Burke,William Rickard,William,11/  /1862,Cincinnati,03/17/1939,Mt. Calvary Cemetery,Atchison,Kansas,USA,,,,,
3059,burnsbi01,Burns,William Thomas,Bill,01/27/1880,San Saba,06/07/1953,Holy Cross Cemetery,San Diego,California,USA,,,,,
3062,burnsc.01,Burns,Charles Brittingham,C.B.,05/15/1879,Bayview,06/06/1968,Angel Hill Cemetery,Havre de Grace,Maryland,USA,,,,,
3063,burnsde01,Burns,Dennis,Dennis,05/24/1898,Tiff City,05/21/1969,Rest Haven Cemetery,Sperry,Oklahoma,USA,Block 1- Lot 26- Space L,,,,
3064,burnsdi01,Burns,Richard Simon,Dick,12/26/1863,Holyoke,11/16/1937,Calvary Cemetery,Holyoke,Massachusetts,USA,,,,,
3065,burnsed01,Burns,Edward James,Ed,10/31/1887,San Francisco,05/30/1942,San Carlos Catholic Cemetery,Monterey,California,USA,Section 1- Lot 17,,,,
3067,burnsge01,Burns,George Joseph,George,11/24/1889,Utica,08/15/1966,Mount Carmel Cemetery,Johnstown,New York,USA,,,,,
3068,burnsge02,Burns,George Henry,George,01/31/1893,Niles,01/07/1978,Calvary Cemetery,Seattle,Washington,USA,St. Alphonsus First Section- Lot 546 Grave 3,,,,
3069,burnehe01,Burnett,Hercules H.,Hercules,08/13/1865,Louisville,10/04/1936,Eastern Cemetery,Louisville,Kentucky,USA,,,,,
3071,burnsjo03,Burns,Joseph James,Joe,06/17/1916,Bryn Mawr,06/24/1974,St. Denis Cemetery,Havertown,Pennsylvania,USA,,,,,
3072,burnsjo02,Burns,Joseph Francis,Joe,02/25/1900,Trenton,01/07/1986,St. Mary Cemetery,Hamilton,New Jersey,USA,,,,,
3073,burnsjo01,Burns,Joseph Francis,Joseph,03/26/1889,Ipswich,07/12/1987,Highland Cemetery,Ipswich,Massachusetts,USA,,,,,
3074,burnsja01,Burns,John Joseph,Jack,05/13/1878,Salford,06/24/1957,Jordan Cemetery,Waterford,Connecticut,USA,,,,,
3075,burnsja02,Burns,John Irving,Jack,08/31/1907,Cambridge,04/18/1975,Evergreen Cemetery,Brighton,Massachusetts,USA,,,,,
3076,burnsji01,Burns,James Milton,Jim,,St. Louis,02/17/1909,St. Peter Cemetery,Quincy,Illinois,USA,,,,,
3077,burneja01,Barnett,John Jeirus,Jack,12/16/1879,Ventura,09/03/1923,Ivy Lawn Memorial Park,Ventura,California,USA,,,,,
3078,burnejo01,Burnett,John Henderson,Johnny,11/01/1904,Bartow,08/12/1959,Garden of Memories Cemetery,Tampa,Florida,USA,,,,,
3081,burnsoy01,Burns,Thomas P.,Oyster,09/06/1864,Philadelphia,11/11/1928,Holy Cross Cemetery,North Arlington,New Jersey,USA,,,,,
3087,burnsto01,Burns,Thomas Everett,Tom,03/30/1857,Honesdale,03/19/1902,St. Michael Cemetery,Springfield,Massachusetts,USA,,,,,
3092,burnewa01,Burnette,Wallace Harper,Wally,06/20/1929,Blairs,02/12/2003,Highland Burial Park,Danville,Virginia,USA,,,,,
3095,burnhwa99,Burnham,George Walter,Watch,05/20/1860,Albion,11/17/1902,Oakwood Cemetery,Saline,Michigan,USA,,,,,
3096,burpoge01,Burpo,George Harvie,George,06/19/1922,Jenkins,12/20/2015,East Lawn Palms Cemetery,Tucson,Arizona,USA,,,,,
3097,burrial01,Burris,Alva Burton,Al,01/28/1874,Warwick,03/25/1938,Hollywood Cemetery,Harrington,Delaware,USA,,,,,
3098,burral01,Burr,Alexander Thomson,Tom,11/01/1893,Chicago,10/12/1918,Rosehill Cemetery,Chicago,Illinois,USA,,,,,
3101,burrebu01,Burrell,Frank Andrew,Buster,12/22/1866,Weymouth,05/08/1962,Fairmount Cemetery,Weymouth,Massachusetts,USA,,,,,
3102,burrudi01,Burrus,Maurice Lennon,Dick,01/29/1898,Hatteras,02/02/1972,New Hollywood Cemetery,Elizabeth City,North Carolina,USA,,,,,
3104,burrohe01,Burroughs,Henry S.,Henry,02/03/1845,Newark,03/31/1878,Mount Pleasant Cemetery,Newark,New Jersey,USA,,,,,
3105,burreha01,Burrell,Harry J.,Harry,05/26/1867,Bethel,12/11/1914,Forest Lawn Memorial Park,Omaha,Nebraska,USA,,,,,
3107,burrojo01,Burrows,John,John,10/30/1913,Winnfield,04/27/1987,Round Bottom Cemetery,Coal Run,Ohio,USA,Cremated,,,,
3110,burripa01,Burris,Paul Robert,Paul,07/21/1923,Hickory,10/03/1999,Williams Memorial Presbyterian Church Cemetery,Charlotte,North Carolina,USA,,,,,
3114,burrisa01,Burris,Samuel James,Samuel,07/21/1919,Centralia,06/19/1982,Elmwood Cemetery,Centralia,IL,USA,,,,,
3120,burtoel01,Burton,Ellis Narrington,Ellis,08/12/1936,Los Angeles,10/01/2013,Cremated,,,,Ashes scattered in lake in Fontana- CA,,,,
3123,burtoji01,Burton,Jim Scott,Jim,10/27/1949,Royal Oak,12/12/2013,Magnolia Gardens,Charlotte,North Carolina,USA,,,,,
3125,burtsmo01,Burtschy,Edward Frank,Moe,04/18/1922,Cincinnati,05/02/2004,St. Joseph Old Cemetery,Cincinnati,Ohio,USA,,,,,
3128,burwebi01,Burwell,William Edwin,Bill,03/27/1895,Jarbalo,06/11/1973,Daytona Memorial Park,Daytona Beach,Florida,USA,,,,,
3130,busbyji01,Busby,James Franklin,Jim,01/08/1927,Kenedy,07/08/1996,Millen Cemetery,Millen,Georgia,USA,,,,,
3131,busbyji02,Busby,James Alfred,Jim,11/28/1900,Benton Harbor,10/02/1960,Evergreen Cemetery,Clinton,NJ,USA,,,,,
3134,busbypa01,Busby,Paul Miller,Paul,08/25/1918,Waynesboro,12/05/2003,Magnolia Cemetery,Meridian,Mississippi,USA,Section 8- Lot 49,,,,
3139,busched01,Busch,Edgar John,Ed,11/16/1917,Lebanon,01/17/1987,O'Fallon City Cemetery,O'Fallon,Illinois,USA,,,,,
3146,bushodo01,Bushong,Albert John,Doc,09/15/1856,Philadelphia,08/19/1908,Holy Cross Cemetery,Brooklyn,New York,USA,St. Augustines- Lot 32- Plot 14,,,,
3147,bushdo01,Bush,Owen Joseph,Donie,10/08/1887,Indianapolis,03/28/1972,Holy Cross Cemetery,Indianapolis,Indiana,USA,,,,,
3149,bushefr01,Bushey,Francis Clyde,Frank,08/01/1906,Wheaton,03/18/1972,Mount Calvary Cemetery,St. Marys,Kansas,USA,,,,,
3150,bushgu01,Bush,Guy Terrell,Guy,08/23/1901,Aberdeen,07/02/1985,Shannon Cemetery,Shannon,Mississippi,USA,,,,,
3153,busheja01,Bushelman,John Francis,Jack,08/29/1886,Cincinnati,10/26/1955,Holston View Cemetery,Weber City,Virginia,USA,,,,,
3154,bushjo01,Bush,Leslie Ambrose,Bullet Joe,11/27/1892,Gull River,11/01/1974,Cremated,,,,Ashes scattered,,,,
3157,buskejo01,Buskey,Joseph Henry,Joe,12/18/1902,Cumberland,04/11/1949,St. Peter & Paul Cemetery,Cumberland,Maryland,USA,,,,,
3159,busketo01,Buskey,Thomas William,Tom,02/20/1947,Harrisburg,06/07/1998,Blue Ridge Memorial Gardens,Harrisburg,Pennsylvania,USA,,,,,
3164,butchha01,Butcher,Henry Joseph,Hank,07/12/1886,Chicago,12/28/1979,St. Mary Cemetery,Evergreen Park,Illinois,USA,,,,,
3167,butchma01,Butcher,Albert Maxwell,Max,09/21/1910,Holden,09/15/1957,Forest Lawn Cemetery,Pecks Mill,West Virginia,USA,,,,,
3172,butkaed01,Butka,Edward Luke,Ed,01/07/1916,Canonsburg,04/21/2005,Oak Spring Cemetery,Canonsburg,Pennsylvania,USA,,,,,
3174,butlear01,Butler,Arthur Edward,Art,12/19/1887,Fall River,10/07/1984,Notre Dame Cemetery,Fall River,Massachusetts,USA,,Arthur Edward Bouthiller,,,
3180,butlabi01,Butland,Wilburn Rue,Bill,03/22/1918,Terre Haute,09/19/1997,Roselawn Memorial Park,Terre Haute,Indiana,USA,,,,,
3181,butlech01,Butler,Charles Thomas,Charlie,05/12/1906,Green Cove Springs,05/10/1964,Christ Churchyard Cemetery,St. Simons Island,Georgia,USA,,,,,
3182,butlece01,Butler,Cecil Dean,Cecil,10/23/1937,Dallas,10/02/2019,Paulding Memorial Gardens,Hiram,Georgia,USA,,,,,
3185,butledi01,Butler,Richard Henry,Dick,12/  /1869,Brooklyn,07/16/1917,Holy Cross Cemetery,Brooklyn,New York,USA,,,,,
3188,butlefr01,Butler,Frank B.,Frank,07/18/1866,Savannah,07/10/1945,Evergreen Cemetery,Jacksonville,Florida,USA,St. Mary's Section,,,,
3189,butleik01,Butler,Isaac Burr,Ike,08/22/1873,Langston,03/17/1948,Forest Hill Cemetery,Stanton,Michigan,USA,Cremated,,,,
3192,butlejo02,Butler,John Stephen,Johnny,03/20/1893,Fall River,04/29/1967,Angelus-Rosedale Cemetery,Los Angeles,California,USA,,,,,
3193,butlejo01,Butler,John Albert,John,07/26/1879,Boston,02/02/1950,Mount Calvary Cemetery,Roslindale,Massachusetts,USA,,,,,
3195,butleki01,Butler,Frank Edward,Kid,05/  /1861,Boston,04/09/1921,Mount Calvary Cemetery,Roslindale,Massachusetts,USA,,,,,
3196,butleki02,Butler,Willis Everett,Kid,08/09/1887,Franklin,02/22/1964,Golden Gate National Cemetery,San Bruno,California,USA,,,,,
3198,butleor99,Butler,Ormond Hook,Ormond,11/18/1854,,09/12/1915,Mount Olivet Cemetery,Frederick,Maryland,USA,Section H- Lot 212- Grave 8; N39.24.349 W77.24.909,,,,
3203,buttefr01,Buttery,Frank,Frank,05/13/1851,Silvermine,12/16/1902,Silvermine Cemetery,Norwalk,Connecticut,USA,,,,,
3207,butteto01,Butters,Thomas Arden,Tom,04/08/1938,Delaware,03/31/2016,Cremated,,,,,,,,
3208,buttsto01,Butts,Thomas Lee,Tommy,08/27/1919,Sparta,12/30/1972,South-View Cemetery,Atlanta,GA,USA,,,,,
3210,buxtora01,Buxton,Ralph Stanley,Ralph,06/07/1911,Weyburn,01/06/1988,Cremated,,,,,,,,
3211,buzasjo01,Buzas,Joseph John,Joe,10/02/1919,Alpha,03/19/2003,Cremated,,,,Ashes retained by family,,,,
3212,buzhajo01,Buzhardt,John William,John,08/17/1936,Prosperity,06/15/2008,St. Luke Lutheran Church Cemetery,Prosperity,South Carolina,USA,,,,,
3213,byassu01,Byas,Richard,Subby,03/19/1910,Sabine County,10/08/1985,Oak Woods Cemetery,Chicago,IL,USA,,,,,
3214,byersbi01,Byers,James William,Bill,10/03/1877,Bridgeton,09/08/1948,Loudon Park Cemetery,Baltimore,Maryland,USA,,,,,
3215,byersbu01,Bayer,Christopher Andy,Burley,12/19/1875,Louisville,05/30/1933,Portland Cemetery,Louisville,Kentucky,USA,,,,,
3216,byerlbu01,Byerly,Eldred William,Bud,10/26/1919,Webster Groves,01/26/2012,St. Lucas Cemetery,Sunset Hills,Missouri,USA,,,,,
3220,byrdbi01,Byrd,William,Bill,07/15/1907,Canton,01/04/1991,Ivy Hill Cemetery,Philadelphia,PA,USA,,,,,
3221,byrdha01,Byrd,Harry Gladwin,Harry,02/03/1925,Darlington,05/14/1985,Darlington Memory Gardens,Hartsville,South Carolina,USA,,,,,
3225,byrdol01,Byrd,Ollie,Ollie,1896,,05/07/1929,Burr Oak Cemetery,Alsip,IL,USA,,,,,
3227,byrdsa01,Byrd,Samuel Dewey,Samuel,10/15/1907,Bremen,05/11/1981,Forestlawn Gardens Cemetery,Anniston,Alabama,USA,,,,,
3229,byrnebo01,Byrne,Robert Matthew,Bobby,12/31/1884,St. Louis,12/31/1964,Calvary Cemetery,St. Louis,Missouri,USA,Section 25,,,,
3230,byrnech99,Byrne,Charles H.,Charlie,09/  /1843,New York,01/04/1898,Calvary Cemetery,Woodside,New York,USA,,,,,
3232,byrneji01,Byrnes,James Joseph,Jim,01/05/1880,San Francisco,07/31/1941,Holy Cross Cemetery,Colma,California,USA,Section J- Row 15- Area 29- Grave 8,,,,
3233,byrneje01,Byrne,Gerald Wilford,Jerry,02/02/1907,Parnell,08/11/1955,Oakwood Cemetery,Grand Ledge,Michigan,USA,,,,,
3235,byrnemi01,Byrnes,Milton John,Milt,11/15/1916,St. Louis,02/01/1979,Our Redeemer Cemetery,Affton,Missouri,USA,,,,,
3236,byrneto01,Byrne,Thomas Joseph,Tommy,12/31/1919,Baltimore,12/20/2007,Wake Forest Cemetery,Wake Forest,North Carolina,USA,,,,,
3241,cabalpu01,Caballero,Ralph Joseph,Putsy,11/05/1927,New Orleans,12/08/2016,Metairie Cemetery,New Orleans,Louisiana,USA,Section 184- Lot C,,,,
3275,cadorle01,Cadore,Leon Joseph,Leon,11/20/1891,Chicago,03/16/1958,Pinecrest Memorial Park,Sandpoint,Idaho,USA,,,,,
3276,cadych01,Cady,Charles Brayton,Charlie,12/22/1864,Chicago,06/07/1909,Oak Woods Cemetery,Chicago,Illinois,USA,,,,,
3277,cadyhi01,Cady,Forrest Leroy,Hick,01/26/1886,Bishop Hill,03/03/1946,Cedar Memorial Park,Cedar Rapids,Iowa,USA,Cremated,Forrest Leroy Bergland,,,
3278,cafegto01,Cafego,Thomas,Tom,08/21/1911,Whipple,10/29/1961,Cadillac Memorial Gardens West,Westland,Michigan,USA,,,,,
3279,caffybe01,Caffyn,Benjamin Thomas,Ben,02/10/1879,Peoria,11/22/1942,Springdale Cemetery,Peoria,Illinois,USA,,,,,
3280,caffijo01,Caffie,Joseph Clifford,Joe,02/14/1931,Ramer,08/01/2011,Cremated,,,,,,,,
3281,carfred01,Carfrey,Edwin M.,Ed,07/28/1863,Philadelphia,10/02/1921,New Cathedral Cemetery,Philadelphia,Pennsylvania,USA,,,,,
3283,cahiljo01,Cahill,John Patrick Parnell,John,04/30/1865,San Francisco,10/31/1901,St. Mary Cemetery,Oakland,California,USA,Section S Space 1-46,,,,
3285,cahilto01,Cahill,Thomas H.,Tom,10/  /1868,Fall River,12/25/1894,St. John's Cemetery,Fall River,Massachusetts,USA,,,,,
3286,cainbo01,Cain,Robert Max,Bob,10/16/1924,Longford,04/08/1997,Cremated,,,,,,,,
3291,cainsu01,Cain,Merritt Patrick,Sugar,04/05/1907,Macon,04/03/1975,Cremated,,,,,,,,
3294,caithge01,Caithamer,George Theodore,George,07/22/1910,Chicago,06/01/1954,Bohemian National Cemetery,Chicago,Illinois,USA,,,,,
3295,caldwbr01,Caldwell,Bruce,Bruce,02/08/1906,Ashton,02/15/1959,Swan Point Cemetery,Providence,Rhode Island,USA,,,,,
3297,caldwch01,Caldwell,Charles William,Charlie,08/02/1901,Bristol,11/01/1957,Caldwell-Givens Cemetery,Galax,Virginia,USA,Cremated,,,,
3298,caldwea01,Caldwell,Earl Welton,Earl,04/09/1905,Sparks,09/15/1981,Valley Memorial Gardens,McAllen,Texas,USA,Section G- Lot 81- Grave 2,,,,
3300,caldeiv01,Calderon,Ivan (Perez),Ivan,03/19/1962,Fajardo,12/27/2003,Cementerio Municipal,Loiza,,Puerto Rico,,,,,
3302,caldwra02,Caldwell,Raymond Benjamin,Ray,04/26/1888,Corydon Township Warren County,08/17/1967,Randolph Cemetery,Randolph,New York,USA,Section K- Lot 53- Grave 1976,,,,
3303,caldwra01,Caldwell,Ralph Grant,Ralph,01/18/1884,Philadelphia,08/05/1969,Ewing Church Cemetery,Ewing,New Jersey,USA,,,,,
3304,caldesa01,Calderone,Samuel Francis,Sam,02/06/1926,Beverly,11/28/2006,Laurel Hill Cemetery,Burlington,New Jersey,USA,,,,,
3307,calhobi01,Calhoun,William Davitte,Bill,06/23/1890,Rockmart,01/28/1955,Rose Hill Cemetery,Rockmart,Georgia,USA,,,,,
3310,calhoja01,Calhoun,John Charles,Jack,12/14/1879,Pittsburgh,02/27/1947,Cremated,,,,,,,,
3312,calhole01,Calhoun,Walter Allen,Lefty,08/21/1911,Union City,10/02/1976,Highland Park Cemetery,Highland Hills,OH,USA,,,,,
3313,calhoro01,Calhoun,Roland Calvin,Roland,02/18/1913,Greenwood,03/01/1985,Lakewood Memorial Gardens,Dorseyville,PA,USA,,,,,
3316,caligfr01,Caligiuri,Frederick John,Fred,10/22/1918,West Hickory,11/30/2018,Knox Union Cemetery,Knox,Pennsylvania,USA,,,,,
3319,calihwi01,Calihan,William T.,Will,05/  /1868,Oswego,12/20/1917,Holy Sepulchre Cemetery,Rochester,New York,USA,,,,,
3322,callabe01,Callahan,Benjamin Franklin,Ben,05/19/1957,Mount Airy,01/09/2007,Cremated,,,,Ashes retained by family,,,,
3323,callada01,Callahan,David Joseph,Dave,07/20/1888,Seneca,10/28/1969,Mount Calvary Cemetery,Seneca,Illinois,USA,,,,,
3324,callaed01,Callahan,Edward Joseph,Ed,12/11/1857,Boston,02/05/1947,Mount Benedict Cemetery,West Roxbury,Massachusetts,USA,,,,,
3325,callafr01,Callaway,Frank Burnett,Frank,02/26/1898,Knoxville,08/21/1987,Highland Memorial Cemetery,Knoxville,Tennessee,USA,Section 20- Lot 226- Grave 2,,,,
3327,callijo01,Callison,John Wesley,Johnny,03/12/1939,Qualls,10/12/2006,Cremated,,,,,,,,
3328,callajo01,Callahan,Joseph Thomas,Joe,10/08/1916,East Boston,05/24/1949,New Calvary Cemetery,Mattapan,Massachusetts,USA,,,,,
3329,callaji01,Callahan,John William,John,10/03/1874,Freeport,02/15/1954,Rose Hill Cemetery,Oklahoma City,Oklahoma,USA,,,,,
3330,callaji02,Callahan,James Timothy,Jim,01/12/1881,Allegheny County,03/09/1968,Mount Olivet Cemetery,Pittsburgh,Pennsylvania,USA,,James Timothy Callaghan,,,
3332,callale01,Callahan,Leo David,Leo,08/09/1890,Jamaica Plain,05/02/1982,Calvary Cemetery,Oil City,Pennsylvania,USA,Section 1- Row 6- Grave 9,,,,
3334,callama01,Callaghan,Martin Francis,Marty,06/09/1900,Norwood,06/23/1975,Highland Cemetery,Norwood,Massachusetts,USA,,,,,
3335,callani01,Callahan,James Joseph,Nixey,03/18/1874,Fitchburg,10/04/1934,St. Bernard's Cemetery,Fitchburg,Massachusetts,USA,,,,,
3338,callara01,Callahan,Raymond James,Ray,08/29/1891,Ashland,01/23/1973,Masonic Memorial Park,Tumwater,Washington,USA,,,,,
3339,callawe01,Callahan,Wese LeRoy,Wese,07/03/1888,Lyons,09/13/1953,Spring Grove Cemetery,Cincinnati,Ohio,USA,,,,,
3341,calvoja01,Calvo,Jacinto (Gonzalez),Jack,06/11/1894,Havana,06/15/1965,Flagler Memorial Park,Miami,Florida,USA,,,,,
3344,calvepa01,Calvert,Paul Leo Emile,Paul,10/06/1917,Montreal,02/01/1999,Cimetiere Notre-Dame-des-Neiges,Montreal,Quebec,Canada,,,,,
3353,camelha01,Camelli,Henry Richard,Hank,12/09/1914,Gloucester,07/14/1996,Woodlawn Cemetery,Wellesley,Massachusetts,USA,,Henry Richard Comolli,,,
3354,camerja01,Cameron,John Stanley,Jack,09/22/1884,Sydney,07/12/1963,Forest Lawn West Cemetery,Charlotte,North Carolina,USA,,,,,
3359,camildo01,Camilli,Adolph Louis,Dolph,04/23/1907,San Francisco,10/21/1997,Cypress Lawn Memorial Park,Colma,California,USA,,,,,
3361,caminke01,Caminiti,Kenneth Gene,Ken,04/21/1963,Hanford,10/10/2004,Cambo Ranch,Sabinal,Texas,USA,Cremated; ashes buried beneath a tree,,,,
3364,camniho01,Camnitz,Samuel Howard,Howie,08/22/1881,Covington,03/02/1960,Cave Hill Cemetery,Louisville,Kentucky,USA,,,,,
3365,camniha01,Camnitz,Henry Richardson,Harry,10/26/1884,McKinney,01/06/1951,Cave Hill Cemetery,Louisville,Kentucky,USA,,,,,
3366,campaal01,Campanis,Alexander Sebastian,Al,11/02/1916,Kos,06/21/1998,Loma Vista Memorial Park,Fullerton,California,USA,Mausoleum Unit 7 Crypt 520,Alessandro Campani,,,
3367,campbar01,Campbell,Archibald Stewart,Archie,10/20/1903,Maplewood,12/22/1989,Sierra Memorial Gardens,Reno,Nevada,USA,,,,,
3372,campbbr01,Campbell,Bruce Douglas,Bruce,10/20/1909,Chicago,06/17/1995,Cremated,,,,,,,,
3373,campbbi01,Campbell,William James,Billy,11/05/1873,Pittsburgh,10/06/1957,Spring Grove Cemetery,Cincinnati,Ohio,USA,,,,,
3374,campbbu01,Campbell,William Henry,Bullet,02/02/1896,Savannah,10/28/1968,Mount Hope Cemetery,Boston,MA,USA,,,,,
3378,campaco01,Campau,Charles Columbus,Count,10/17/1863,Detroit,04/03/1938,Metairie Cemetery,New Orleans,Louisiana,USA,,,,,
3379,campeca01,Camper,Cardell,Cardell,07/06/1952,Boley,12/07/2010,Green Acres Memorial Park,Bloomington,California,USA,,,,,
3385,campbem01,Campbell,Emmet Granville,Emmet,06/01/1887,St. David,01/29/1929,Robinson's Run Cemetery,McDonald,PA,USA,,,,,
3386,campofr01,Campos,Francisco Jose (Lopez),Frank,05/11/1924,Havana,01/28/2006,Flagler Memorial Park,Miami,Florida,USA,,,,,
3388,campbgi01,Campbell,William Gilthorpe,Gilly,02/13/1908,Kansas City,02/21/1973,San Fernando Mission Burial Park,Mission Hills,California,USA,,,,,
3390,campbhu01,Campbell,Hugh F.,Hugh,1846,,03/01/1881,Holy Sepulchre Cemetery,East Orange,New Jersey,USA,,,,,
3391,campho01,Camp,Howard Lee,Howie,07/01/1893,Hopeful,05/08/1960,Hillcrest Cemetery,Boaz,Alabama,USA,,,,,
3395,campbjo01,Campbell,John Millard,John,09/13/1907,Washington,04/24/1995,Daytona Memorial Park,Daytona Beach,Florida,USA,Cremated,,,,
3402,campki01,Camp,Winfield Scott,Kid,12/08/1869,New Albany,03/02/1895,Forest Lawn Memorial Park,Omaha,Nebraska,USA,,,,,
3405,cample01,Camp,Robert Plantagenet Llewellan,Lew,02/23/1868,Columbus,10/01/1948,Forest Lawn Memorial Park,Omaha,Nebraska,USA,,,,,
